RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
310,,Joe Flacco (CLE),QB39,40,149,202,169.3,23.3,-
311,,Noah Brown (WAS),WR129,29,244,311,276.5,22.5,-
312,,Tim Patrick (DET),WR130,31,147,331,223.0,67.4,-
313,,Erick All Jr. (CIN),TE47,24,246,322,288.1,23.1,-
314,,AJ Barner (SEA),TE48,23,259,324,288.4,24.1,-
315,,LeQuint Allen Jr. (JAC),RB98,20,232,308,282.4,25.5,-
316,,Joe Milton III (DAL),QB40,25,137,282,188.7,66.1,-
317,,Jacob Cowing (SF),WR131,24,251,325,284.8,25.6,-
318,,Mitchell Evans (CAR),TE49,22,239,294,268.7,20.9,-
319,,Jordan Watkins (SF),WR132,23,211,332,269.8,44.0,-
320,,Will Howard (PIT),QB41,23,142,281,205.7,57.3,-
321,,Treylon Burks (TEN),WR133,25,268,309,290.4,11.8,-
322,,A.J. Dillon (PHI),RB99,27,262,315,283.4,16.8,-
323,,Spencer Rattler (NO),QB42,24,156,255,212.7,41.7,-
324,,Luke Schoonmaker (DAL),TE50,26,258,310,288.4,18.5,-
325,,Dillon Gabriel (CLE),QB43,24,161,255,221.7,43.0,-
326,,Darnell Washington (PIT),TE51,23,263,341,290.1,24.5,-
327,,Ricky White III (SEA),WR134,23,243,321,282.3,27.3,-
328,,Chris Rodriguez Jr. (WAS),RB100,25,256,332,283.8,27.1,-
329,,Chris Brooks (GB),RB101,25,239,305,273.8,24.8,-
330,,Dawson Knox (BUF),TE52,28,261,333,286.8,24.0,-
331,,Gus Edwards (FA),RB102,30,249,336,287.3,30.3,-
332,,Malik Willis (GB),QB44,26,160,205,182.5,22.5,-
333,,Thomas Fidone II (NYG),TE53,22,252,326,277.6,25.9,-
334,,Raheim Sanders (LAC),RB103,23,251,321,278.2,31.8,-
335,,Kendrick Bourne (NE),WR135,29,241,308,278.4,23.9,-
336,,Quinn Ewers (MIA),QB45,22,167,293,240.3,53.5,-
337,,Kalel Mullings (TEN),RB104,22,234,307,266.3,26.4,-
338,,KeAndre Lambert-Smith (LAC),WR136,23,260,312,291.7,17.4,-
339,,Mack Hollins (NE),WR137,31,259,363,289.0,37.9,-
340,,Luke Lachey (HOU),TE54,24,257,310,284.6,20.0,-
341,,Ray-Ray McCloud III (ATL),WR138,28,244,323,293.8,27.5,-
342,,Phil Mafah (DAL),RB105,22,258,288,272.0,10.7,-
343,,Nick Nash (ATL),WR139,24,237,325,287.0,32.7,-
344,,Austin Hooper (NE),TE55,30,273,361,300.8,32.5,-
345,,Gavin Bartholomew (MIN),TE56,22,266,306,290.2,15.2,-
346,,Mason Rudolph (PIT),QB46,29,183,249,216.0,33.0,-
347,,Jonathan Mingo (DAL),WR140,24,273,326,299.3,19.4,-
348,,Efton Chism III (NE),WR141,-,240,327,280.8,33.7,-
349,,Emanuel Wilson (GB),RB106,26,270,311,293.6,14.0,-
350,,Jeremy Ruckert (NYJ),TE57,24,234,311,282.5,29.0,-
351,,Arian Smith (NYJ),WR142,23,267,314,294.4,16.6,-
352,,Mac Jones (SF),QB47,26,207,254,230.5,23.5,-
Tier 15,,Customize Tiers,,,,,,,
353,,Trey Sermon (PIT),RB107,26,263,312,288.8,21.1,-
354,,Aidan O'Connell (LV),QB48,26,137,137,137.0,0.0,-
355,,Marquez Valdes-Scantling (SEA),WR143,30,282,327,307.3,14.7,-
356,,Deshaun Watson (CLE),QB49,29,146,146,146.0,0.0,-
357,,Foster Moreau (NO),TE58,28,272,351,306.2,30.7,-
358,,Donovan Edwards (NYJ),RB108,22,246,316,280.3,28.6,-
359,,KaVontae Turpin (DAL),WR144,28,254,338,310.8,30.8,-
360,,Greg Dulcich (NYG),TE59,25,264,371,304.8,40.0,-
361,,Greg Dortch (ARI),WR145,27,281,353,314.0,24.9,-
362,,Hunter Renfrow (CAR),WR146,29,181,340,260.5,79.5,-
363,,Michael Carter (ARI),RB109,26,268,335,300.5,24.8,-
364,,Trey Palmer (TB),WR147,24,272,370,315.2,31.9,-
365,,Daniel Bellinger (NYG),TE60,24,282,357,314.4,26.5,-
366,,Kenny Pickett (CLE),QB50,27,244,292,268.0,24.0,-
367,,Ezekiel Elliott (FA),RB110,29,267,314,294.0,19.8,-
368,,Jared Wiley (KC),TE61,24,287,339,306.8,19.9,-
369,,Dylan Laube (LV),RB111,25,271,327,297.0,23.0,-
370,,Ameer Abdullah (FA),RB112,32,254,346,301.0,37.6,-
371,,Allen Lazard (NYJ),WR148,29,251,335,299.3,35.4,-
372,,Jake Bobo (SEA),WR149,26,268,332,299.7,26.1,-
373,,Marcus Yarns (NO),RB113,23,278,293,285.5,7.5,-
374,,Jimmy Horn Jr. (CAR),WR150,22,271,302,286.5,15.5,-
375,,Theo Wease Jr. (MIA),WR151,24,234,234,234.0,0.0,-
376,,Antwane Wells Jr. (NYG),WR152,24,236,236,236.0,0.0,-
377,,Stone Smartt (NYJ),TE62,26,263,369,315.0,43.3,-
378,,Jelani Woods (IND),TE63,26,284,326,305.7,17.2,-
379,,Deion Burks (FA) O,WR153,-,239,239,239.0,0.0,-
380,,Samaje Perine (CIN),RB114,29,294,345,316.3,19.6,-
381,,Hunter Long (JAC),TE64,26,255,255,255.0,0.0,-
