"Rank","Player","Team","Bye","POS","AVG"
"195","Theo Johnson","NYG","11 ","TE25","193.0"
"196","Justin Fields","NYJ","12","QB26","195.5"
"197","Aaron Rodgers","PIT","9","QB27","197.0"
"198","Dylan Laube","LV","10","RB64","199.5"
"199","Treylon Burks","TEN","5 ","WR83","202.0"
"200","Noah Fant","SEA","10","TE26","203.0"
"201","Tank Bigsby","JAC","12","RB65","203.0"
"202","Matthew Stafford","LAR","6","QB28","203.5"
"203","Isaac Guerendo","SF","9","RB66","203.5"
"204","Devontez Walker","BAL","14","WR84","205.5"
"205","Tucker Kraft","GB","10","TE27","208.5"
"206","Malik Washington","MIA","6","WR85","209.5"
"207","Greg Dulcich","NYG","11","TE28","212.5"
"208","Jalin Hyatt","NYG","11","WR86","214.5"
"209","Tyler Conklin","LAC","5","TE29","221.5"
"210","Tyler Boyd","","","WR87","227.0"
"211","Alexander Mattison","MIA","6","RB67","227.5"
"212","Greg Dortch","ARI","11","WR88","228.0"
"213","Brenden Rice","LAC","5","WR89","228.5"
"214","Elijah Moore","BUF","12","WR90","233.0"
"215","Rasheen Ali","BAL","14","RB68","234.0"
"216","Jonathan Mingo","DAL","7","WR91","236.5"
"217","Jalen Tolbert","DAL","7","WR92","237.0"
"218","A.T. Perry","DEN","14","WR93","237.0"
"219","Jared Wiley","KC","6 ","TE30","237.0"
"220","Mike Gesicki","CIN","12","TE31","237.5"
"221","DJ Chark Jr.","","","WR94","238.0"
"222","Cade Stover","HOU","14","TE32","239.5"
"223","Justice Hill","BAL","14","RB69","201.0"
"224","Taysom Hill","N","12 O","TE33","203.0"
"225","Clyde Edwards-Helaire","NO","12","RB70","243.5"
"226","Deneric Prince","","","RB71","209.0"
"227","Geno Smith","LV","10","QB29","245.0"
"228","Frank Gore Jr.","BUF","12","RB72","210.0"
"229","Jordan Mason","MIN","6","RB73","212.0"
"230","Kenneth Gainwell","PIT","9","RB74","246.5"
"231","Jacob Cowing","SF","9","WR95","246.5"
